customer_id,first_name,last_name,gender,age,signup_date,loyalty_program,email,city,state,country
C1,Jennifer,Nguyen,Male,26,17-01-2022,TRUE,figueroasherry@hotmail.com,South Ronaldshire,Massachusetts,USA
C2,Debra,Reed,Female,63,14-04-2025,TRUE,sdickerson@yahoo.com,Leahburgh,North Carolina,USA
C3,Russell,Johnson,Female,53,15-04-2025,FALSE,melindaanderson@ochoa.com,Gregoryview,Oregon,USA
C4,Drew,Cooper,Male,49,21-04-2025,TRUE,pgarcia@long.com,Raystad,Michigan,USA
C5,Rhonda,Howell,Male,31,27-05-2024,TRUE,sclark@flores-smith.com,Benjaminfurt,Delaware,USA
C6,Mary,Jones,Female,74,24-08-2020,FALSE,charlessean@juarez.com,New Donnaport,Alabama,USA
C7,Charles,Fleming,Female,62,04-10-2023,TRUE,kevin29@gmail.com,Williamfort,Texas,USA
C8,Eric,Smith,Female,19,01-07-2021,FALSE,bconner@perez.com,South Robertland,California,USA
C9,Jacqueline,Tucker,Female,50,19-03-2023,TRUE,jenniferscott@brown.biz,Micheleland,Wyoming,USA
C10,Tammy,Walker,Female,21,27-12-2020,TRUE,timothy72@hotmail.com,Albertberg,Missouri,USA
C11,Justin,Powell,Female,40,07-12-2022,TRUE,badams@gmail.com,Cobbburgh,Maine,USA
C12,Robert,Walters,Female,28,17-07-2024,TRUE,angela39@yahoo.com,Garzaberg,Alaska,USA
C13,Elizabeth,Kramer,Female,69,06-08-2023,FALSE,hollythomas@yahoo.com,Port Tracey,Florida,USA
C14,Natalie,Williams,Female,76,17-02-2022,TRUE,samanthapetty@rogers.org,Gilesville,Montana,USA
C15,Gregory,Smith,Female,48,19-10-2024,TRUE,michaelsawyer@gibbs.biz,Lake Nicholaston,Arizona,USA
C16,Madison,Williams,Female,61,10-06-2022,TRUE,joycehughes@russo-williams.com,Jessicatown,Kentucky,USA
C17,Felicia,Brown,Female,49,03-11-2022,TRUE,larrystephens@yahoo.com,East Catherine,Illinois,USA
C18,Kathleen,Johnson,Female,46,29-12-2021,FALSE,debrawalters@lucas-williams.biz,East Gregory,Alaska,USA
C19,Steven,Higgins,Female,47,04-05-2025,TRUE,qwinters@yahoo.com,West Jennifer,Utah,USA
C20,Gary,Martinez,Female,28,08-06-2025,TRUE,erin48@yahoo.com,South Jason,Arkansas,USA
C21,Robin,Shepherd,Male,18,18-08-2024,FALSE,brianataylor@gmail.com,Nicoleville,Missouri,USA
C22,Kristine,Sexton,Male,20,25-10-2021,TRUE,paulpamela@love.info,East Nicholasport,Louisiana,USA
C23,Jeremiah,Collins,Male,55,09-08-2020,FALSE,emilymartin@long.net,Armstrongstad,New Hampshire,USA
C24,Matthew,Patel,Female,65,10-01-2025,TRUE,dawnochoa@gmail.com,Patrickhaven,Vermont,USA
C25,Angela,Hernandez,Female,65,27-11-2023,TRUE,jturner@carroll.com,Obrienview,Idaho,USA
C26,Stephen,Jordan,Female,52,02-06-2024,TRUE,tlawson@thomas.net,Port Christinaberg,California,USA
C27,Debra,Smith,Male,40,21-10-2021,FALSE,tina57@smith.biz,Davidside,Rhode Island,USA
C28,Emily,Hayes,Male,49,05-09-2022,FALSE,jamiesmith@vaughn-hunt.com,Garrisonview,Alaska,USA
C29,Steven,Morgan,Male,52,20-07-2020,TRUE,william38@yahoo.com,Markland,California,USA
C30,Suzanne,Long,Male,50,06-09-2024,TRUE,laurawarner@pope.org,Kellyberg,Florida,USA
C31,David,Morgan,Female,52,02-06-2022,TRUE,moorejimmy@greene.org,New Seanview,Wisconsin,USA
C32,Wayne,Ryan,Female,64,01-03-2025,TRUE,troy55@gmail.com,West Johnshire,Missouri,USA
C33,Stephanie,Hayes,Male,28,23-06-2024,TRUE,anna16@jarvis.com,Hartmouth,Connecticut,USA
C34,Joshua,Bullock,Male,45,24-07-2020,FALSE,ylee@simmons.com,East Tammy,Connecticut,USA
C35,Monica,Brown,Male,65,20-02-2025,TRUE,catherine13@bradley.com,North Cathyside,Delaware,USA
C36,Alex,Ramos,Male,72,15-11-2023,TRUE,bmann@yahoo.com,South Angelaton,North Dakota,USA
C37,Dawn,Hernandez,Female,75,21-06-2022,TRUE,olewis@jones.com,Smithview,New Hampshire,USA
C38,Roger,Watson,Female,66,21-02-2025,TRUE,krauseangela@yahoo.com,North Frankton,Indiana,USA
C39,Cindy,Knight,Female,48,19-10-2023,TRUE,meganwaters@davis.biz,Lake Alyssa,Colorado,USA
C40,Anthony,Davis,Male,24,05-09-2022,TRUE,melissa61@gmail.com,Lake Vanessamouth,Texas,USA
C41,Samantha,Perry,Male,76,22-07-2021,FALSE,alexisnicholson@yahoo.com,Lake Courtney,West Virginia,USA
C42,Nicole,Bowen,Female,19,18-11-2023,TRUE,wrodriguez@zuniga.info,South Melanie,Tennessee,USA
C43,Alan,King,Male,80,06-11-2021,TRUE,ana25@berry-tate.com,Hansonport,North Dakota,USA
C44,Robert,Morrison,Female,24,21-09-2023,TRUE,odeleon@carpenter.com,Lake Crystal,Minnesota,USA
C45,Tamara,Cannon,Male,33,19-02-2022,FALSE,rebeccataylor@yahoo.com,Port Evan,Maryland,USA
C46,Antonio,Harris,Male,58,04-04-2023,FALSE,benjamin40@gmail.com,Dannymouth,Oklahoma,USA
C47,Veronica,Ware,Male,62,12-01-2022,TRUE,schneiderryan@yahoo.com,New Anthony,Arizona,USA
C48,Amy,Horn,Male,70,10-02-2023,FALSE,bradleythomas@hotmail.com,Kramerside,New Hampshire,USA
C49,Katie,Wagner,Female,58,22-02-2024,TRUE,kennethlong@yahoo.com,New Roberthaven,West Virginia,USA
C50,Kenneth,Williams,Male,23,13-07-2022,TRUE,melindashaffer@diaz.com,East Jason,North Dakota,USA
C51,Gerald,Townsend,Male,20,04-07-2021,TRUE,kimberlyherrera@yahoo.com,Jakefurt,Georgia,USA
C52,Adam,Rice,Male,24,15-06-2022,TRUE,scott03@hotmail.com,Hectorstad,Texas,USA
C53,Savannah,Davis,Female,58,13-04-2023,TRUE,hlawrence@gmail.com,Nunezside,Ohio,USA
C54,Wyatt,Robbins,Female,67,27-09-2021,FALSE,gcarey@oneal-hicks.com,West Nancychester,Vermont,USA
C55,Courtney,Martinez,Male,74,23-09-2023,FALSE,tanya25@lee-gonzales.com,Stephaniestad,Oklahoma,USA
C56,Leon,Cunningham,Female,62,21-05-2024,TRUE,karahall@hotmail.com,Howardside,Connecticut,USA
C57,Nancy,Jones,Male,19,31-05-2023,TRUE,francisbrown@yahoo.com,Michaelmouth,Washington,USA
C58,Robin,Williams,Male,50,04-10-2023,TRUE,wwalker@gmail.com,Michaelbury,California,USA
C59,Kayla,Rodriguez,Female,21,06-02-2024,TRUE,bhodge@bush.com,Darrellville,Iowa,USA
C60,Alexandra,Zhang,Female,40,29-06-2023,TRUE,cynthiagraves@hotmail.com,Gregorymouth,Idaho,USA
C61,Latasha,Hunt,Female,28,04-08-2021,TRUE,ghuffman@santos.com,South Leahbury,California,USA
C62,Eric,Pratt,Female,69,07-08-2020,TRUE,cruzwilliam@hotmail.com,Tylerview,Alaska,USA
C63,Kristin,Edwards,Female,76,09-08-2024,FALSE,alyssa16@yahoo.com,Lozanofort,Texas,USA
C64,Gregory,Garrett,Female,48,05-10-2022,TRUE,jordan54@cobb.com,Kristenberg,West Virginia,USA
C65,Brian,Anderson,Female,61,19-02-2021,TRUE,elizabethsanders@day-smith.net,Briantown,Washington,USA
C66,Cheryl,Dominguez,Female,49,16-11-2022,FALSE,kellyandrew@yahoo.com,South Sarah,Maryland,USA
C67,Sarah,Moore,Female,46,01-05-2024,TRUE,angelatravis@hodge.com,Lake Kimberly,Tennessee,USA
C68,Melissa,Hicks,Female,47,03-07-2022,TRUE,forbestaylor@salas-white.com,Hornfurt,Rhode Island,USA
C69,George,Peters,Female,28,16-05-2023,TRUE,jturner@rivera.info,Lake Maryville,Minnesota,USA
C70,Vincent,Duran,Female,18,01-02-2024,TRUE,andrewcasey@gmail.com,North Jerry,New Hampshire,USA
C71,Julie,Cabrera,Female,20,29-06-2023,FALSE,tpeterson@hotmail.com,Stevenview,New Mexico,USA
C72,Ashley,Hodge,Female,55,22-06-2024,TRUE,sarah11@salinas-mcknight.com,Medinaborough,Missouri,USA
C73,Christina,Schwartz,Female,65,20-01-2024,TRUE,awhite@hotmail.com,Suarezmouth,Arkansas,USA
C74,Rodney,Baker,Female,65,02-01-2024,FALSE,leonardnathaniel@hayes.com,Sotochester,Pennsylvania,USA
C75,Gary,Green,Female,52,12-10-2023,FALSE,ashleyspears@wolfe-saunders.info,Port Lauraview,Rhode Island,USA
C76,Brian,Burns,Male,40,02-05-2021,FALSE,huntjackie@yahoo.com,Timothyfort,Georgia,USA
C77,Linda,Diaz,Female,49,13-07-2024,TRUE,qhunt@yahoo.com,Danielton,Hawaii,USA
C78,Daniel,Vaughn,Male,52,07-03-2021,TRUE,waterschristopher@thompson.net,West Jadeport,Nebraska,USA
C79,Samantha,Washington,Female,50,30-12-2024,FALSE,nancyjones@mullins.biz,Port Matthew,Maryland,USA
C80,Kristy,Patel,Female,52,27-10-2020,FALSE,roger49@yahoo.com,Brewerville,Nevada,USA
C81,Rhonda,Grant,Female,64,09-08-2020,TRUE,vazquezjacqueline@yahoo.com,South Victorville,Ohio,USA
C82,Michelle,Carlson,Male,28,20-05-2025,TRUE,samanthaballard@hotmail.com,South Andrewbury,Kentucky,USA
C83,Robert,Luna,Male,45,21-07-2020,TRUE,khill@noble.com,Lake Theresa,New Mexico,USA
C84,Jasmine,Novak,Male,65,14-09-2021,FALSE,rebecca18@yahoo.com,West Nancy,Montana,USA
C85,Marissa,Odom,Male,72,11-12-2021,TRUE,dustin15@mahoney-hayes.com,Hatfieldstad,West Virginia,USA
C86,Shawn,Decker,Male,75,30-07-2020,TRUE,benjamin38@nelson.com,Lake Victoriashire,Wyoming,USA
C87,Julie,Hernandez,Female,40,11-06-2023,TRUE,hayneszachary@frey.com,Darrenshire,Arizona,USA
C88,Scott,Wallace,Male,46,27-05-2023,TRUE,mcameron@gmail.com,West Amanda,Louisiana,USA
C89,Brian,Haynes,Male,74,07-10-2021,FALSE,rhonda98@whitney.net,East Kimberly,Vermont,USA
C90,Victoria,Brown,Male,66,10-08-2020,TRUE,matthewmassey@gmail.com,East Shannonchester,Oklahoma,USA
C91,Thomas,Jacobs,Male,59,27-02-2025,FALSE,bettykelly@owen-becker.com,West Larryborough,Ohio,USA
C92,Daniel,Harris,Male,30,03-03-2023,FALSE,xgross@torres.info,Port Lindahaven,Virginia,USA
C93,Omar,Thomas,Female,63,25-05-2021,TRUE,pachecocalvin@armstrong-mercado.com,Hayesfurt,South Carolina,USA
C94,Laura,Matthews,Male,61,04-07-2024,TRUE,rrodriguez@kim.com,Christinamouth,Connecticut,USA
C95,Kyle,Gonzalez,Male,80,28-02-2021,TRUE,james38@rowland.org,North Margaret,South Dakota,USA
C96,Richard,Anderson,Female,77,27-04-2023,FALSE,uramirez@yahoo.com,North Jenniferfurt,Georgia,USA
C97,Elizabeth,Perkins,Female,69,16-07-2023,TRUE,eugene46@gmail.com,Salinaschester,Idaho,USA
C98,Anthony,Phillips,Male,72,27-12-2023,TRUE,benjamin12@mcbride.com,East Raymondstad,Hawaii,USA
C99,Bobby,Cruz,Female,70,18-03-2023,FALSE,colson@yahoo.com,Port Victorburgh,Maine,USA
C100,Daniel,Bryan,Female,40,11-05-2024,TRUE,jessica47@hotmail.com,Sarahside,Delaware,USA
C101,Alex,Doyle,Male,80,28-10-2023,FALSE,levictor@hotmail.com,Davidfurt,North Carolina,USA
C102,Alexander,Cole,Female,57,27-10-2022,TRUE,austinlee@watson.com,North Aaronstad,Wisconsin,USA
C103,Rhonda,Smith,Male,45,19-12-2024,TRUE,madeline36@gmail.com,New William,Utah,USA
C104,Kevin,Chase,Female,39,12-01-2023,TRUE,tmueller@pope.com,Stewartfurt,Ohio,USA
C105,Karen,Cooley,Female,67,06-09-2021,FALSE,nicolehess@kim-padilla.com,West Seanhaven,Oregon,USA
C106,Walter,Miller,Female,61,14-01-2023,TRUE,jle@garcia.com,Joneschester,Louisiana,USA
C107,Lisa,Nguyen,Female,40,08-03-2023,FALSE,brucewilliams@byrd.com,Andersonville,Delaware,USA
C108,Tammy,Martinez,Male,74,01-06-2022,FALSE,angelabrown@gmail.com,Andersonstad,South Dakota,USA
C109,Jillian,Johnson,Female,62,10-03-2024,TRUE,caitlinramos@gmail.com,Shirleyview,Michigan,USA
C110,Paul,Mcmahon,Male,19,16-09-2024,FALSE,jamesyoung@woodard.info,Michaelborough,Rhode Island,USA
C111,Jacob,Foster,Male,50,16-07-2023,TRUE,roykenneth@york-thomas.com,Jamesmouth,Colorado,USA
C112,John,Rush,Female,21,22-07-2022,TRUE,diane57@rogers.com,Jillport,North Dakota,USA
C113,Carrie,Hall,Male,40,19-02-2022,TRUE,bwalker@johnson-robinson.net,Jeremyton,Nebraska,USA
C114,Mitchell,Mcdonald,Female,28,16-11-2024,FALSE,amarquez@gmail.com,South Christianport,Arkansas,USA
C115,Tracy,Allen,Male,69,04-10-2021,TRUE,sharondorsey@miller.info,Simmonsside,Michigan,USA
C116,Crystal,Jimenez,Male,76,29-10-2020,TRUE,stonemegan@hotmail.com,Schneiderview,Massachusetts,USA
C117,Angela,Durham,Female,48,29-10-2021,TRUE,david64@gmail.com,Duncanland,Alaska,USA
C118,Richard,Ortega,Male,61,27-11-2020,TRUE,michael51@davis.com,Campbellville,New Hampshire,USA
C119,James,Henry,Male,49,03-02-2023,TRUE,ilawrence@gmail.com,Barnettstad,New Mexico,USA
C120,Daniel,Williams,Male,46,03-01-2024,FALSE,luis07@yahoo.com,North Erinmouth,California,USA
C121,Craig,Kemp,Male,47,28-10-2024,FALSE,lancefrazier@hall.com,South Melissamouth,North Carolina,USA
C122,Jeffrey,Anderson,Male,28,29-01-2025,TRUE,bbell@hotmail.com,Port Kyle,Oklahoma,USA
C123,Renee,Lopez,Male,18,18-07-2020,FALSE,ashleymalone@freeman.com,Adamfurt,New Jersey,USA
C124,William,Fletcher,Male,20,01-03-2021,TRUE,jrodriguez@yahoo.com,West Debra,Kansas,USA
C125,Matthew,Woods,Male,55,25-05-2021,FALSE,tara09@hotmail.com,Martinezmouth,Ohio,USA
C126,Diane,Dunlap,Male,65,08-01-2021,TRUE,davidfox@robbins.com,Patrickbury,Pennsylvania,USA
C127,Emily,Chen,Male,65,16-12-2023,TRUE,monica33@lopez.org,Meganmouth,Georgia,USA
C128,Jesse,Alexander,Male,52,03-11-2021,TRUE,hughesjoshua@yahoo.com,Reedville,Louisiana,USA
C129,Donald,King,Male,40,10-02-2021,FALSE,riveraphillip@collins-schmitt.info,Alichester,Colorado,USA
C130,Lee,Paul,Male,49,11-03-2023,TRUE,tina61@hotmail.com,Janebury,Arkansas,USA
C131,Michael,Torres,Male,52,01-10-2022,TRUE,steven01@james.com,West Natashaberg,Indiana,USA
C132,Amanda,Morrison,Male,50,28-07-2024,TRUE,tiffany06@hotmail.com,Lake Victoria,Oklahoma,USA
C133,Tyler,Chan,Male,52,02-03-2025,TRUE,ibentley@gmail.com,East Cherylburgh,Indiana,USA
C134,Benjamin,Smith,Male,64,15-11-2022,TRUE,amanda26@hotmail.com,Lake Paulberg,Illinois,USA
